,bulk_sample_1,scRNA_sample_1
Gm2030,0,0
Trp53tg5,0,0
Tm9sf3,183,50
Mir203,0,0
Rprd1b,39,64
Rwdd4a,24,26
Nphp3,19,9
1700010H22Rik,2,0
Gm8324,0,0
Gm13676,0,0
Rraga,76,25
Rtn1,30,0
Gm15775,1,0
Rspo4,7,0
D6Ertd527e,1,0
D11Wsu47e,17,21
Alms1-ps1,0,0
Gm15712,0,0
Gm10263,0,2
Fzd10,23,9
Ltbp4,23,9
Npnt,54,4
Mir188,0,0
Gm10042,0,0
Gm13499,0,0
Mlana,0,3
Gm11781,0,0
Pik3c2b,32,28
Lin9,11,2
Gm9905,1,1
Eif2b5,230,74
Ethe1,10,382
Ang-ps2,0,0
Sult2a7,0,0
Vmn1r-ps80,0,0
Meox2,0,0
Ssbp2,7,3
1810063I02Rik,1,0
Gm10044,3,0
Olfr1127-ps1,0,0
Car13,19,2
Olfr808,0,0
Gm9252,0,0
Slc1a5,34,21
Fgr,10,3
Gm11817,0,0
n-R5s52,0,0
Psmd13,102,81
Atxn7l3b,101,226
Entpd5,43,94
Trim34a,11,16
Aftph,104,39
Plcd4,10,0
Gm12178,1,0
BC106179,0,0
Il18r1,163,23
C530025M09Rik,0,0
Gm13385,0,0
Gm15611,0,0
Vsig2,1,0
Ocm,7,0
Gm15903,0,0
Gm15999,0,0
Gm13645,0,0
Spag7,62,78
Gm12827,0,0
Gm14633,0,0
Gm6067,0,0
Gm3106,0,0
Deptor,47,37
Scg3,3,0
Gm11565,0,0
Tbc1d16,234,6
Gm15793,0,4
Dnajc11,52,45
Wiz,60,18
Olfr1506,0,0
Usp32,58,25
Gm12619,0,0
Alg8,18,3
Gm6356,0,2
Vars,1190,109
Nedd1,30,8
Ube3b,107,53
Amh,1,0
Tnfrsf10b,89,4
4833412C05Rik,0,0
Mir30c-2,0,0
1700047G07Rik,0,0
Fcgr1,1,3
2500002B13Rik,1,0
Leo1,33,14
4933411K16Rik,0,0
Bsx,3,0
Olfr1103-ps1,0,0
Rfx3,16,1
Plekha4,72,11
Phc1,42,28
Gm4285,1,3
D130020L05Rik,3,7
Gm10271,0,0
Olfr1066,0,0
Irx3,8,0
Gm15589,0,0
Tfam,34,49
Blvrb,5,17
Magee2,0,0
Gm11722,0,5
Atxn3,25,31
Haus4,12,17
1700091H14Rik,0,0
Ndufa9,64,172
Gm12902,1,0
Pcsk1,5,0
Slc7a5,102,5
Gm14832,0,0
Gbe1,26,21
Mef2a,69,103
Map3k10,31,5
Nkd1,3,19
Pou3f4,0,0
Gp6,1,0
Igkv1-35,0,0
Adam6b,0,0
Actc1,15,0
Gpd2,41,47
Gnat1,6,0
B3gat1,5,0
Gm2986,1,2
Ank,427,554
Rs1,1,0
1700042O10Rik,0,0
Ubtd2,11,9
Scarna17,0,0
4732414G09Rik,0,0
Gm17029,1,0
Spopl,16,4
Rorb,2,14
Insig1,28,3
9430065F17Rik,1,0
Cep170,44,10
Clpx,81,35
Apoa5,3,0
4930579C12Rik,6,0
Pnn,104,72
Rxra,69,22
Card11,6,5
Sdk1,21,22
Cx3cr1,4,7
Mtmr2,45,12
Cox10,17,15
Cntf,0,0
Cd40lg,0,0
Mthfr,36,11
Gm833,0,0
Itpk1,29,52
Tpra1,20,36
Cenpc1,20,29
Gm13807,7,0
Gm15742,0,0
Rpl35a-ps2,0,2
Ripk4,67,9
Gm12489,0,0
Gm12365,0,0
Olfr1451,0,0
Ankdd1a,2,0
Mpp6,41,9
Krt13,56,3
Olfr704,0,0
Htr5a,1,0
Kif22,21,3
Fgf20,1,0
Slc17a5,48,32
Adamts16,3,0
Slc47a1,12,0
Tub,45,0
Plekhf2,35,9
Rps19,236,1096
Gpr22,0,0
Il23a,221,30
Ldb3,11,0
1700010B08Rik,0,0
Gm13136,1,6
Gm13329,0,0
Gm13665,0,2
Tmbim1,43,64
Gm15915,0,5
Tmco3,58,22
Gm7821,0,0
Slc17a7,2,0
Man2b2,52,14
Defb3,6,0
Gm8261,1,0
Gm9889,0,0
1700007M16Rik,0,0
Gm5447,1,0
Gripap1,51,59
Gm15905,0,0
Rab37,3,20
Rrp36,25,20
Csnk1d,206,134
Mycn,7,0
E130120K24Rik,0,0
Upp1,14,184
Tomm34,42,24
Igkv4-71,0,0
Mir669k,0,0
Cryl1,67,55
Adra2c,4,1
Prl2c3,0,0
Gpx4,92,281
Gm5046,0,0
Rpa3,12,24
Bdkrb2,73,0
Ctr9,76,50
Gm15888,0,1
Marveld3,27,10
Vmn2r-ps57,0,0
Gm5763,2,0
4933402E13Rik,2,0
Isl2,1,0
Olfr1254,0,0
Cstad,2,0
Olfr281,1,0
Xlr5a,1,0
Rc3h2,63,39
Rab34,11,2
Lhfpl4,4,3
Magea5,0,0
Aifm2,21,11
Zfp957,0,0
Gm5656,0,0
Vmn2r23,0,0
1700045H11Rik,0,0
Mup9,0,0
Myh4,53,7
Tap2,126,46
6530411M01Rik,0,0
n-R5s142,0,0
Gm12984,0,0
Ankrd37,7,21
Ddah1,16,15
Atp6v0b,113,238
Gpsm1,19,40
Gm3383,0,0
Gm12185,6,2
Vmn1r-ps25,0,0
Ung,12,3
Chst9,0,0
Gm16567,0,0
Serpina12,26,8
Gm14180,0,0
Zscan22,8,5
5430402E10Rik,0,0
Ppbp,7,0
Carm1,60,40
Gm15268,0,0
Lamb3,49,13
Gm14922,0,0
Hsd3b6,11,0
Tes3-ps,1,0
Mir137,0,0
A530072M11Rik,1,0
Sipa1,8,25
Yif1a,41,30
Gpr137,30,43
Tnxa,0,0
Iyd,13,2
Trim14,4,9
Bves,4,0
Gm14138,0,3
Hlx,13,3
Gm14333,0,0
Mir471,0,0
Pcdhb17,3,7
Emx2,2,0
Sec61a2,15,3
Scx,3,5
Nrgn,7,1015
Vmn2r-ps43,0,0
C230037L18Rik,2,5
Gm12490,0,0
Ubash3b,22,2
Arid4a,54,150
n-R5s175,0,0
Zfp770,9,0
Slc25a36,40,10
Gbp4,220,21
Gmfb,73,6
Gm10651,4,0
Gm2174,0,0
Rhox3h,0,0
1700001P01Rik,0,0
Vps35,177,56
Slc26a10,34,2
Xrcc5,18,36
Pcyt2,31,36
Gm3460,0,0
Klk1b7-ps,1,0
4933406F09Rik,0,0
Olfr594,0,0
Olfr706,0,0
Lpin3,33,22
Gpd1l,46,31
Gm4799,1,33
Gm13384,0,0
Psmc2,139,138
Rab3gap2,85,36
Dedd2,44,25
Gm5091,0,0
Yipf5,44,21
Rassf9,1,0
Gm13366,0,0
Ttc39c,19,1
Nfkbia,1794,653
Proz,27,1
Psg26,2,0
Gm6797,0,0
Asphd2,3,0
Gtf2f1,107,99
Ccdc17,8,3
Cyth4,12,11
Apol10b,7,0
4921514A10Rik,0,0
Opn5,2,0
Herpud1,299,97
Olfr938,0,0
Smad3,42,0
Clcn6,18,18
Gm14231,0,2
Acsl3,125,42
Gm13870,0,7
Gm12057,1,2
Gm17148,0,0
Serpinb2,143,9
Lhfpl5,2,0
Rpl13-ps1,0,0
Hexb,39,66
Neurod4,3,0
Idh3b,99,74
Mad2l1bp,16,15
Tnfrsf11b,271,5
Dennd1c,14,2
Vmn2r120,0,0
Brip1,9,0
Synpo,61,4
Gm5639,0,0
Pigg,22,8
Gm13311,0,0
Snf8,40,145
Gm14035,0,0
Galc,7,4
Sema3f,130,32
Trmt11,7,2
Gtf3c5,58,36
Gspt1,132,68
Fsd2,40,0
Yipf2,19,74
A430105J06Rik,0,0
Olfr420,0,0
Ptpn20,2,0
Polr2l,8,65
Gm13270,0,0
Ptp4a2,180,170
Gdf9,1,2
Gm8104,0,0
Gm15996,0,0
Zfp619,8,12
Cobl,54,9
Olfr1138,0,0
Ap3s1,8,11
Olfr684,0,0
Ivl,8,6
Gm10576,0,0
Hook3,51,52
Gm13872,0,0
Gm11200,0,0
Metrn,8,2
Map3k9,17,19
Gm9428,0,0
Gm4938,0,0
Nek7,44,134
Krt32,1,0
Chst14,3,2
Hgs,99,77
Cend1,7,8
Gm5499,1,0
Gm8303,0,0
Snx4,40,25
Rspo3,4,0
Gm1401,0,0
Gm15989,0,0
Dnttip1,20,33
n-R5s69,0,0
Gm3159,0,0
Nkx2-5,1,0
Armcx3,5,16
Gm14964,0,0
Gm15587,0,0
Luzp2,31,15
Dnaic2,165,0
Ctsq,2,0
Pla2g4e,9,0
Cyp19a1,5,0
Lhx3,7,0
Pnmal2,210,7
Baz2b,103,235
Sumf1,26,16
Gm12997,0,0
H2-M10.6,1,0
Recql4,8,0
Gm2888,0,0
1700041G16Rik,0,0
1700061F12Rik,0,0
Ap1s3,6,24
Vmn1r-ps40,0,0
Rplp0-ps1,5,0
Zfp365,8,0
Reep1,14,0
Olfr384,0,0
Rps14,329,1436
Gm17662,0,0
Mapk8,37,1
Scn4b,39,1
Gm15266,0,0
Ncan,12,2
Trpa1,9,7
Otop2,8,0
Sult1e1,5,0
Fhl1,16,2
Gm11111,0,0
Mir453,0,0
Gm6079,0,0
Rmnd5a,73,58
Mageh1,6,15
Gm16325,1,0
Adcy10,0,3
Gm17409,0,0
Kcnk4,1,0
Ccr7,132,9
Gm12123,0,4
Gm15342,1,0
5330438I03Rik,0,0
Rasgrf2,2,27
Vps33b,21,26
Axin1,60,43
9230109A22Rik,0,0
Pgpep1,114,54
Gm5138,0,0
Serpina3d-ps,1,0
Gm13115,0,0
Sdf4,166,259
Dmbx1,12,0
Gins1,5,0
Gm17047,0,0
Mir376b,0,0
Gm5874,0,0
Epyc,19,4
Gm15008,0,0
Gm10577,0,0
Gm10242,0,0
AI429214,7,0
Fdxacb1,5,0
Cdc42se1,356,231
Olfr1354,0,0
D430020J02Rik,13,0
Mir764,0,0
Glipr1,7,6
Kti12,16,4
Pnck,2,0
Hoxa7,0,0
Dexi,81,67
Olfr124,0,0
Cd200r3,1,0
Gm6468,0,0
Slc22a26,1,0
4930555G01Rik,0,0
Fads3,7,0
Defb44-ps,0,0
Cdx1,495,148
Gm8011,0,0
Gm10561,0,0
Egr1,1055,927
H2-T23,436,453
Slc38a1,247,33
Dao,9,0
Clic1,129,138
Camsap2,45,20
Frmd6,11,2
Gm4831,0,0
Strap,114,47
5330439B14Rik,0,0
Rpl12-ps2,0,4
Nop2,43,34
Fam129b,222,116
Pnma5,2,0
Olfr738,0,0
Actl6b,1,0
Gm12459,0,0
3930402G23Rik,2,0
Palm3,8,0
Ash2l,59,23
Ip6k3,32,0
Slc44a4,6,23
Cox4i2,5,0
Atg3,49,77
Gm10175,0,0
Zfp605,9,12
Ddost,157,107
Slc25a14,6,17
Snord89,0,0
Wdr61,44,41
Rbbp9,9,8
Scrn3,8,9
Gm11252,0,0
Hmx3,20,117
Pramef12,2,0
Gm8065,0,0
Usp13,3,0
Gm14809,0,0
Ppp2r1a,207,229
mt-Ti,0,0
Olfr141,0,0
Gm14129,0,0
Gm14644,0,0
1700019D03Rik,4,0
Dnttip2,56,15
Rhox9,1,0
Vmn1r35,0,0
Gm2877,0,0
Xkr9,9,0
Mir568,0,0
Olfr1447,0,0
Gigyf2,63,105
Ccdc25,47,10
Upk3a,16,0
Tmem181a,8,8
Poldip2,37,52
Casp7,59,30
Cmpk2,32,3
Gm11909,0,0
Gm17129,0,0
Mier3,21,26
Grsf1,60,11
Atf5,286,55
Gm5797,0,0
Olfr990-ps1,1,0
Cse1l,83,56
Ptcd3,36,0
Gm15737,1,0
Vmn1r-ps77,0,0
Gzmm,2,5
Sacm1l,63,22
Tacc3,36,0
Mctp1,12,462
Fam161a,12,12
Bdp1,84,48
Olfr1440,0,0
Cyp4f13,19,37
Cops6,71,146
4921508D12Rik,1,0
Oaf,21,0
Klhdc4,35,19
Nxnl1,0,0
Gm10545,0,0
Gm13394,0,0
Gm15063,0,0
Amelx,27,3
Gm266,10,0
Hsd17b12,83,46
Dpy19l3,72,10
Col12a1,237,0
Plcd1,17,0
2310043M15Rik,2,0
4930533K18Rik,0,0
Snord49b,1,12
9330154J02Rik,0,0
Tas2r134,0,0
Wdtc1,99,36
Crhr1,15,0
Gm13775,0,0
Gm6569,1,0
Zfp68,35,7
Gm16323,0,0
Gm16540,0,0
Xlr5b,0,0
Alg5,21,20
Gm7568,0,0
Tor1b,51,63
Mtor,93,69
Mir210,0,0
Pde11a,4,6
Galntl5,0,0
Mybpc2,12,0
Gm13548,0,0
Mir466c-2,0,0
Zfp763,3,0
Rdx,96,201
Gm16223,0,0
Muc3,26,3
Mup15,0,0
Pax6os1,0,5
Gm14206,3,0
9930111J21Rik2,1,2
Calca,155,12
Gm16538,0,0
Dmrtc1c2,0,0
Gm13884,0,0
Pde9a,18,48
Itm2c,218,195
Adck5,13,38
Gm15177,0,0
Clip4,79,3
Lif,45,8
A730045E13Rik,0,0
Cldn3,100,278
Zfp35,20,12
Gm15975,2,2
Ckap2,14,1
Cyp2c66,0,0
Tube1,6,0
1700034J04Rik,0,0
Sntg1,3,0
Olfr1176,0,0
Btf3,119,38
Aph1b,6,10
Gjb1,1,0
Hoxa11,0,0
Extl1,151,63
Il16,6,12
Rab11b-ps2,6,8
Tdg,17,37
Klk12,6,1
Trp53bp1,170,43
6030469F06Rik,0,0
Gm14052,0,0
Mir147,0,61
Gm15890,1,0
Chrm4,3,0
Rgs21,1,2
Taar5,1,0
Gm13420,2,0
Psd3,116,31
Olfr467,0,0
1700024J04Rik,0,0
Pdcd10,25,38
Mir335,0,0
Vma21,18,37
Gm15091,0,0
n-R5s192,0,0
Olfr307,1,0
Pabpc4,68,37
Tex13a,0,0
Gm6793,0,0
2900060B14Rik,0,0
Ipp,14,10
Hdac3,60,24
Gm13110,2,0
Olfr477,0,0
Tmub2,53,35
Gm6584,0,0
Snhg5,20,8
Bmper,6,0
Glycam1,1,28
Mup-ps16,0,0
Lrch3,23,31
Gm7429,0,3
Nxt2,10,2
Thap11,19,11
Echs1,75,69
Gm5420,0,0
C87436,11,34
Ighv12-3,0,0
D030028A08Rik,4,7
Nox3,0,0
Htatip2,14,143
Xlr5e-ps,0,0
Mir680-3,0,0
Apol7d,0,0
Sox2ot,1,0
Gm12616,0,0
Col4a6,4,0
Gm14915,0,0
Tpi1,138,197
Gart,66,34
Olfr308,0,0
Rsrc1,32,80
Gm16101,0,0
Gm14721,0,0
n-R5s180,0,0
Mir467c,0,0
Gm4861,0,0
Naaa,32,10
Gm14977,0,0
Gm16025,0,0
Gm13349,0,0
Hyal3,3,0
Ankle2,48,19
Gm15377,0,0
Commd1,14,418
Cul7,138,9
Clec12a,10,4
Smpdl3b,20,1
Ahcyl2,813,295
Olfr1057,0,0
Gm14728,0,0
Samd4b,197,88
Hexim2,4,6
Pcdhb6,0,0
Fam72a,2,0
4930431P03Rik,0,0
Wdr45,9,28
Tead4,2,0
Zmat3,79,15
Gm13415,1,0
Gm12648,0,0
Gm13707,1,0
Chmp1a,79,124
A330048O09Rik,0,0
Olfr570,0,0
Nox1,13,0
Gm16015,0,0
Gm11894,0,0
Atp11c,22,7
Mir1895,0,0
Olfr1394,0,0
Zfp366,1,0
Gm14091,0,0
Gm3141,0,0
Cdk17,21,1
Rock1,104,57
Cdc42ep4,90,12
Ocln,62,4
Vmn1r27,0,0
Brcc3,19,15
Zfp212,32,16
Tmem39b,5,8
Cand2,6,3
9930014A18Rik,3,0
Nrxn1,25,31
Yy1,122,84
Gm14274,0,0
Celf4,6,36
2810025M15Rik,23,108
Ly6g6c,10,8
Gm14762,0,0
Gga1,97,36
Scn2b,16,0
Olfr654,0,0
Tmem68,21,5
Spice1,15,22
4930588K23Rik,0,0
Eif1,204,740
Kbtbd4,6,10
Ccdc88c,170,39
Olfr832,0,0
Smn1,28,39
Gm14135,0,0
9230111E07Rik,1,0
Gm11540,0,0
Kctd12b,3,3
Gm20547,0,18
Gm16487,2,0
Igkv3-12,0,0
Wdr90,49,15
Olfr1415,0,0
Osbpl5,35,22
Gm11910,0,0
Lrwd1,30,11
Sohlh1,7,1
Aldh1l2,13,1
Gm13703,0,0
Cd72,35,7
Mrgprb2,1,0
Olfr1293-ps,0,0
Gm13694,0,0
Ern2,5,6
Ccdc106,0,0
Gm8216,0,0
Pmpcb,59,20
Mul1,66,52
Gm12991,0,0
Dnase1l3,376,40
Fndc7,158,123
Timd2,29,0
Sva,0,0
Galnt3,25,7
1700030J22Rik,4,3
Spata13,43,65
Egf,6,0
Slc16a12,15,0
Gm15681,3,0
S100a6,114,70
Serpina3c,2,0
Crygs,4,0
Gm14592,1,0
Vti1a,39,46
Paxip1,43,29
Plxnd1,116,18
Gm8916,0,0
Ssr2,124,173
Ndufs5,16,89
B9d2,16,20
Gm13650,0,0
Fam124a,13,0
Gm3696,1,0
Poli,8,30
Brca2,24,8
Ubtfl1,0,0
Zc3hav1,112,33
Tmem225,0,0
Gm16139,0,0
Fam118b,24,21
Zmynd12,2,0
Gm13171,0,0
Ltb4r2,1,0
Vmn2r1,1,0
Gm10092,0,0
Gm11621,0,0
Gm15106,0,0
Tcp11l2,17,23
Nt5c3,30,11
Sox2,3,10
Perp,119,114
Gm11713,0,0
Clgn,2,0
Creb3l2,68,30
Tnxb,64,0
Defb39,0,0
Ddx5,1138,552
Gm12288,0,0
Gm12881,0,0
C1galt1c1,19,25
Slc38a7,11,12
Fbxl19,58,7
Gm7957,0,0
Gm11808,41,231
Pla2g6,32,31
Gm5859,0,0
Mir760,0,0
Olfr1501,0,0
Gm2199,2,3
Ttc22,23,43
Dnali1,3,4
Gm14287,0,0
Kctd7,4,3
Zmiz2,514,113
Rabgap1,60,112
Pum2,179,37
Vps16,65,95
Wdr41,41,11
Tipin,12,9
Gm10478,1,20
St3gal5,20,39
Cdc42bpg,112,20
Defb37,0,0
Lama5,121,10
Zscan5b,3,0
Cenpl,11,5
Gm9989,0,0
Tsc22d4,104,163
Atp6v1g2,8,13
Gsc2,2,0
Mir297a-4,0,0
Pdgfra,2,7
Mir1968,0,0
Cox17,13,626
Ankrd46,51,16
Ppy,23,12
Olfr1233,0,0
Arv1,8,4
Zfp810,15,0
Gm13623,1,0
Gm13942,0,0
Eif4ebp2,165,34
Tusc3,48,46
Cep76,14,3
Gm13106,0,0
Gm17099,0,0
Gm3928,0,0
Ap1g2,82,27
Zfp472,10,2
Ier2,302,647
9330179D12Rik,2,0
Hic2,10,11
Mtrr,14,22
Tal1,10,0
Olfr1251,0,0
Dgcr2,41,39
Vwa5b1,32,0
Mylk4,21,11
Rrm2,41,7
Atp2c1,87,27
Aebp2,506,55
Olfr964-ps1,0,0
Olfr286,1,0
Snord96a,0,0
3830408C21Rik,1,0
Epsti1,58,41
Awat2,4,0
Hsd11b1,13,0
Kpna2,29,0
Tpcn1,45,17
Defb25,4,0
Gm12135,0,0
Ciapin1,46,57
Sema3g,6,0
Gm13710,0,0
Prl3d1,0,0
1600020E01Rik,18,9
Gnas,32,615
Mtx1,50,41
Rbms1,183,68
Gm12735,1,0
Psg29,2,0
Mmp13,15,0
Gm6576,0,5
5830432E09Rik,0,0
Gm14044,0,49
2610316D01Rik,1,0
Mgam,71,0
Dpy19l4,33,15
Gm16330,0,0
Rab9b-ps1,0,0
Gm6829,0,5
Anxa8,20,7
Chd1l,28,31
Cd69,5,0
Trabd,52,64
Mapkapk5,5,68
1700112K13Rik,0,0
Mir329,0,0
Gm13505,0,0
Cyp2c69,0,0
Olfr397,0,0
Gm12179,0,0
1700008O03Rik,1,0
Ccdc113,3,0
Gmpr,24,42
Cdhr5,98,336
Cradd,6,15
Gm13046,0,0
D10Wsu102e,60,9
Olfr70,0,0
Prm2,1,0
Nol9,32,43
6030458C11Rik,26,21
Ogt,217,59
Calhm2,5,12
Kcnj5,25,28
Mup-ps11,0,0
Dnajc17,7,13
Tpr,257,172
Snora28,0,0
Rpusd1,13,40
Gm16059,0,0
Gm12068,0,0
Fam20a,4,40
Tmem229b,16,15
Naa10,18,88
Abcd2,3,0
2610001J05Rik,15,16
Gm2026,0,0
Fchsd1,14,0
Gm16098,1,5
1110038B12Rik,31,20
Muc4,48,0
Acp1,14,70
Mageb6-ps,0,0
Gm14707,0,0
Gm2007,0,0
Gm13025,0,0
Vim,488,61
Cox6a2,3,0
1600014C10Rik,38,37
Gprasp2,28,31
Gm3839,0,0
A230107N01Rik,0,0
A930031H19Rik,0,0
Trbv26,0,0
Mir196b,0,0
Gm4986,0,6
A430057M04Rik,1,0
Olfr686,0,0
Gm15000,0,0
D930007J09Rik,0,0
Smc1b,3,0
Ndufab1,15,69
Cdr2l,15,5
Lrrc51,2,3
Gm3532,0,0
Gm10710,0,0
Armc10,71,32
Tmem44,2,2
Ghrh,7,11
T,14,0
Cftr,21,5
Gm12941,0,0
Pds5a,105,24
Lin7a,2,0
Cyp11b2,2,0
Gm14791,0,0
Acat3,2,2
Isg20l2,27,8
Myh9,904,265
BC034090,46,12
Ano2,9,0
Olfr747,0,0
Dgat1,26,30
Dmp1,2,0
Inpp5d,64,412
4833418N17Rik,0,0
Gm17076,0,0
Pim1,264,55
Asb7,28,22
Msmp,0,0
Olfr1181,0,0
Gbp10,6,1
Specc1,53,8
Gm12194,0,0
Avp,15,25
Hao2,4,0
n-R5s63,0,0
Gm11334,0,0
Mrgpre,3,6
Gm13091,1,0
Caps2,0,0
Slc25a48,12,0
Gm12011,0,0
B230206L02Rik,2,4
Gm18191,0,0
Gm6486,0,0
Olfr883,0,0
Def6,23,80
Gyg,42,27
Gm13575,0,0
Adam26a,0,0
3110056K07Rik,7,19
Gm16968,0,0
Nthl1,4,7
4930519F16Rik,0,0
Gm11270,0,0
Olfr1206,0,0
Dbx1,2,0
Ube2u,0,0
Got1l1,1,0
A430108G06Rik,0,0
Iffo1,8,28
Cd22,8,0
Rdh13,11,5
Olfr50,0,0
Gm10323,0,0
Gm9048,0,0
Adcy4,1,6
Zfp560,6,6
Dscam,23,1
1300002E11Rik,12,23
Psmg1,20,9
Creb3l1,20,2
Olfr719-ps,0,0
Kcns3,1,14
Ltbp2,174,1
Mcpt9,2,0
Trav6d-3,0,0
Gm6121,0,0
D830044D21Rik,0,0
Cecr2,8,0
Gm13284,0,0
Gm11977,1,4
Gm15186,0,7
Gm12730,0,0
Plxna3,20,6
Spp1,113,4
Cd27,6,12
Mmrn2,6,2
Gm8682,0,0
Pabpn1l,5,0
Ppef2,9,0
Mrpl1,15,0
Nktr,213,166
Gm12009,6,0
Atp6v0e,140,266
Gm11833,0,0
Gm6893,0,0
Gm11751,0,0
Tcea1,31,42
Sh2d1b1,1,0
Olfr1315-ps1,0,0
Gm11739,2,0
Trim40,16,3
2810459M11Rik,1,0
Rnf41,33,14
Pde4d,16,117
Tonsl,15,17
C430042M11Rik,3,0
5730522E02Rik,1,0
Olfr632,0,0
Mir19b-2,0,0
Gm12413,0,0
Gm11838,0,4
Exosc2,17,20
Gm17150,0,0
Mir215,0,0
Olfr1463,0,0
Pabpc5,0,0
Gm13338,0,0
Cldn23,16,1
Gm3667,1,0
Ephb4,66,105
Macc1,15,34
Bet1l,20,105
Serpina10,4,0
Cox7c,29,224
Gm11899,0,0
Cdc16,56,25
Gm13367,0,0
Gm12919,1,0
Mdh2,235,217
Mageb18,1,0
Gm8174,0,2
Fhdc1,5,18
Hist1h2ao,0,42
Mir761,0,0
Gm12320,3,0
Gm6762,0,0
Olfr921,0,0
Dnm3,21,3
Gm13015,1,7
Gm14765,0,0
Gm11824,0,0
Vdac3-ps1,14,8
Gm8122,0,0
Gm12714,2,0
Acsl6,11,1
1700010I14Rik,2,6
Gm9727,2,7
Mx2,7,9
Gm12529,0,0
Pus7,22,23
Gm12906,1,26
Lsm14b,93,24
Ms4a15,1,0
Gm10110,12,8
Pqlc3,18,27
Aars2,48,13
Wdsub1,36,36
4921531C22Rik,5,27
Csnk1g2,107,156
Minpp1,20,5
Fmnl2,369,29
Atp6v1e2,0,0
Wrap53,16,20
Cxxc5,113,160
Bfar,48,52
Pcdh8,20,0
Ppm1f,22,0
P2ry10,5,4
Prss23,1,0
D830030K20Rik,2,0
Scara5,7,0
Ddit4,73,3
Gm15366,0,0
Mapk15,5,11
Yes1,49,2
Gm14507,0,0
1700125H20Rik,1,0
Art5,7,106
Gm9800,40,445
Chmp1b,31,63
Tmod2,42,4
Eif2a,57,38
Tbc1d10c,8,0
Gm12960,0,0
Gm11608,0,0
Csn3,7,0
Trmt2b,44,35
Bcl3,54,14
Olfr970,0,0
Gm13221,0,0
5033423K11Rik,0,0
Pom121,81,34
Gm13561,3,0
Gm10378,0,0
Ccdc81,5,0
Gm5751,0,0
Gm12408,1,0
Hnf4g,26,50
Olfr1246,0,0
Ilf2,62,82
Krt20,136,8
2210016L21Rik,153,308
Esf1,24,19
Kcna7,5,0
Abca8b,1,0
Pctp,4,1
Myo16,15,0
Nicn1,31,28
Trappc6b,36,27
Gm12935,0,0
2410002F23Rik,44,28
Gm12792,0,0
Hccs,24,4
Hspb3,1,0
Gm11615,0,0
Gm6728,1,0
Bcl2l14,67,244
Gm13216,0,2
Gm7233,0,0
Rpl27a-ps2,0,0
Wdr48,84,34
Gm8806,6,1
Krtap13,0,0
Gm16533,0,0
Btla,3,0
Scnn1g,10,0
Tph1,50,0
Cmas,45,102
4930466I24Rik,2,0
Gm14760,0,0
Gm9848,0,0
Astn1,8,0
Gm10075,0,18
Vmn2r100,0,0
Olfr458,0,0
Gm14580,0,0
1700031F05Rik,1,0
Bhlhe23,15,0
Zfp639,15,2
Ptpn22,56,5
Dnajb6,29,72
C430014B12Rik,0,0
Snx25,27,37
Gm11784,0,0
Khdc1a,10,0
Gm13427,0,0
Gm10358,0,0
Olfr740,0,0
Gm11279,0,0
Gm13487,1,0
Tek,10,66
Gm16677,0,0
Olfr569,0,0
Asap1,76,47
Gm17120,2,0
n-R5s100,0,0
Gm20443,0,0
Tbccd1,20,9
Gm15154,0,0
Cdsn,22,0
Helq,12,18
2700062C07Rik,8,29
Gm5898,2,7
Zfp58,2,16
Muc6,25,0
Gtf2a1l,0,0
Kif3b,72,90
Gm15610,0,60
Dtna,4,2
Gm15873,1,7
Invs,17,2
Trim54,0,0
Snord99,0,0
Irx1,8,1
Oxa1l,34,55
Gm3102,0,0
Klf16,28,10
Gm13815,0,4
Eif3s6-ps2,5,0
Vmn1r15,0,0
Acot11,32,8
Olfr1122,0,0
Vmn1r122,0,0
Gm9823,0,0
Vmn1r-ps67,0,0
Gsto1,17,13
1700016K19Rik,5,6
Uqcrfs1,112,152
Slc36a2,14,0
Gm11952,0,0
Gm12056,0,0
Gm14277,3,6
Enpep,34,0
Grk5,141,35
Gm2075,0,0
3222401L13Rik,1,35
Fmod,7,0
Pcgf2,20,20
4930444P10Rik,1,0
Gm13059,0,0
Gm16347,0,0
Fdps,3,32
Sec62,82,140
Abhd14a,14,13
Tm2d2,40,56
Zfp598,63,35
Supv3l1,29,10
Gm16102,0,0
Igkv4-86,0,0
Pcgf5,90,16
Tmem38b,7,0
Rln3,40,0
Fer1l6,31,23
Hectd3,42,23
Gm14016,0,0
Gm15116,0,0
Gm4737,2,4
Efhc2,0,0
Gm16124,0,0
Olfr854,0,0
Slc39a8,6,7
Lin37,16,36
Iapp,25,42
A230072C01Rik,2,0
Gm12275,0,0
Gm19840,0,0
Abca7,208,55
Snap23,39,27
Gm10142,0,0
Ptgdr,2,0
Gm16555,1,0
Bcor,156,17
Retnlg,2,0
Cygb,76,13
Mir297c,0,0
Mbd4,12,4
Zfp322a,15,10
Agtr1b,0,0
Gm12800,0,0
2310015A10Rik,3,11
Gm15981,0,4
Gm14358,0,0
Nop56,57,28
Gm7731,0,0
Mmgt2,9,27
Rai14,59,19
Olfr403,0,0
Pkp2,20,17
Xpnpep3,16,4
Adrb1,4,19
Trim30d,13,4
Gm3573,0,0
Ptbp1,313,95
Gm8091,5,0
Tmem161b,34,0
Gm12723,0,0
Fasn,240,111
